InvoiceID,CustomerID,BranchID,InvoiceDate,Channel,PaymentMethod,DiscountAmount,TotalAmount,Status,Year,Month,YearMonth,ItemsCount,ItemsQty
INV000018,C01214,B99,1402-10-21,Online,OnlinePay,0.0,1069187.0,Completed,1402,10,1402-10,6,13
INV000019,C01074,B99,1403-01-18,Online,OnlinePay,12427.0,76701.0,Completed,1403,1,1403-01,1,4
INV000020,C01630,B01,1402-01-11,Store,Wallet,280675.0,5010490.0,Completed,1402,1,1402-01,6,21
INV000021,C01899,B99,1404-08-06,Online,Card,70997.0,2462570.0,Completed,1404,8,1404-08,3,12
INV000022,C01537,B04,1401-08-07,Store,Card,186961.0,4907248.0,Completed,1401,8,1401-08,4,15
INV000023,C01921,B03,1404-02-27,Store,OnlinePay,0.0,1986374.0,Completed,1404,2,1404-02,4,11
INV000024,C01210,B99,1404-11-19,Online,Card,0.0,1964729.0,Completed,1404,11,1404-11,3,12
INV000025,C00195,B02,1403-09-24,Store,Cash,0.0,3488228.0,Completed,1403,9,1403-09,5,17
INV000026,C00229,B02,1402-05-24,Store,Card,78694.0,992193.0,Completed,1402,5,1402-05,2,9
INV000027,C01973,B99,1401-05-13,Online,Cash,323407.0,1588178.0,Completed,1401,5,1401-05,2,6
INV000028,C01513,B99,1401-01-06,Online,Card,0.0,1757310.0,Completed,1401,1,1401-01,3,9
INV000029,C00377,B99,1404-05-20,Online,OnlinePay,94741.0,3309434.0,Completed,1404,5,1404-05,5,15
INV000030,C00570,B99,1403-01-12,Store,OnlinePay,0.0,2452157.0,Completed,1403,1,1403-01,6,15
INV000031,C01552,B04,1400-05-05,Store,OnlinePay,531222.0,2398871.0,Completed,1400,5,1400-05,3,7
INV000032,C02161,B04,1405-06-06,Store,OnlinePay,0.0,3596507.0,Completed,1405,6,1405-06,4,11
INV000033,C01169,B02,1404-01-15,Store,Card,0.0,825995.0,Completed,1404,1,1404-01,2,4
INV000034,C00623,B07,1404-11-06,Store,OnlinePay,0.0,4834287.0,Completed,1404,11,1404-11,5,14
INV000035,C01190,B08,1402-11-19,Store,OnlinePay,0.0,2438620.0,Completed,1402,11,1402-11,2,8
INV000036,C01173,B99,1405-04-20,Online,Card,48221.0,1938331.0,Completed,1405,4,1405-04,4,7
INV000037,C02135,B04,1401-06-12,Store,Card,0.0,495000.0,Completed,1401,6,1401-06,2,5
INV000038,C00922,B99,1401-05-05,Online,OnlinePay,0.0,972440.0,Completed,1401,5,1401-05,2,8
INV000039,C00122,B07,1405-01-12,Store,OnlinePay,0.0,767834.0,Completed,1405,1,1405-01,2,2
INV000040,C00297,B02,1405-01-14,Store,Card,0.0,1880288.0,Completed,1405,1,1405-01,5,15
INV000041,C01497,B05,1403-03-05,App,OnlinePay,0.0,5576458.0,Completed,1403,3,1403-03,6,16
INV000042,C01595,B01,1400-12-18,Store,Wallet,0.0,2367929.0,Completed,1400,12,1400-12,2,6
INV000043,C00835,B02,1402-02-07,Store,OnlinePay,27699.0,887394.0,Completed,1402,2,1402-02,1,3
INV000044,C00705,B05,1404-06-07,Store,Cash,0.0,2213166.0,Completed,1404,6,1404-06,4,8
INV000045,C00411,B03,1404-11-10,Store,OnlinePay,0.0,2185984.0,Completed,1404,11,1404-11,3,11
INV000046,C02051,B99,1402-05-09,Online,Card,0.0,1915640.0,Completed,1402,5,1402-05,3,6
INV000047,C00780,B99,1400-06-20,Online,Card,0.0,3796917.0,Completed,1400,6,1400-06,6,19
INV000048,C00530,B99,1404-01-09,Online,Card,173245.0,2178691.0,Completed,1404,1,1404-01,5,13
INV000049,C00345,B08,1404-05-11,Store,Card,0.0,3927906.0,Completed,1404,5,1404-05,4,13
INV000050,C00546,B07,1402-10-20,Store,OnlinePay,0.0,2349948.0,Completed,1402,10,1402-10,2,8
INV000051,C02020,B99,1403-08-15,Online,OnlinePay,0.0,345814.0,Completed,1403,8,1403-08,2,5
INV000052,C00385,B99,1405-06-12,Store,Card,0.0,3100710.0,Completed,1405,6,1405-06,5,13
INV000053,C02173,B99,1401-10-01,Online,OnlinePay,0.0,2600314.0,Completed,1401,10,1401-10,3,7
INV000054,C01029,B07,1403-07-26,Store,Card,0.0,1336590.0,Completed,1403,7,1403-07,4,9
INV000055,C01672,B05,1403-10-08,Store,OnlinePay,0.0,2634350.0,Completed,1403,10,1403-10,3,9
INV000056,C01708,B04,1403-06-14,Store,Cash,0.0,2281078.0,Completed,1403,6,1403-06,2,6
INV000057,C00875,B99,1404-12-16,Online,Card,227333.0,1300314.0,Completed,1404,12,1404-12,4,11
INV000058,C01361,B99,1403-09-26,Store,Card,0.0,1827388.0,Completed,1403,9,1403-09,2,5
INV000059,C01170,B99,1403-03-22,Online,Cash,52457.0,589769.0,Completed,1403,3,1403-03,1,2
INV000060,C01447,B04,1400-12-11,Store,OnlinePay,0.0,2541603.0,Completed,1400,12,1400-12,2,9
INV000061,C00582,B02,1404-03-07,Store,Wallet,0.0,3213427.0,Completed,1404,3,1404-03,4,14
INV000062,C00911,B99,1401-01-03,App,Card,0.0,865165.0,Completed,1401,1,1401-01,3,8
INV000063,C01129,B99,1400-03-07,Online,Card,0.0,2796081.0,Completed,1400,3,1400-03,2,9
INV000064,C00689,B05,1403-02-16,Store,OnlinePay,291446.0,2250489.0,Completed,1403,2,1403-02,2,7
INV000065,C01748,B01,1403-07-25,Store,Cash,155299.0,3994001.0,Completed,1403,7,1403-07,5,15
INV000066,C01804,B07,1405-06-30,App,Cash,410600.0,5996947.0,Completed,1405,6,1405-06,6,22
INV000067,C01425,B07,1404-03-23,Store,OnlinePay,358550.0,2008565.0,Completed,1404,3,1404-03,5,14
INV000068,C00285,B06,1404-11-14,Store,Card,80148.0,1141352.0,Completed,1404,11,1404-11,3,10
INV000069,C01577,B99,1402-05-06,Online,OnlinePay,80685.0,2966008.0,Completed,1402,5,1402-05,5,13
INV000070,C01924,B99,1403-03-24,Online,Cash,0.0,364713.0,Completed,1403,3,1403-03,3,5
INV000071,C01144,B99,1405-05-22,Store,OnlinePay,78778.0,538334.0,Completed,1405,5,1405-05,2,7
INV000072,C01391,B05,1402-10-06,Store,OnlinePay,97620.0,2959943.0,Completed,1402,10,1402-10,5,13
INV000073,C00212,B07,1404-09-04,Store,Card,6731.0,206966.0,Completed,1404,9,1404-09,1,1
INV000074,C00392,B08,1403-04-28,Store,Wallet,0.0,423362.0,Completed,1403,4,1403-04,1,1
INV000075,C01417,B99,1401-08-09,Online,Cash,0.0,1517755.0,Completed,1401,8,1401-08,1,5
INV000076,C00576,B99,1403-08-10,Online,Card,0.0,2461042.0,Completed,1403,8,1403-08,2,9
INV000077,C01213,B99,1401-07-24,Online,Cash,0.0,2212885.0,Completed,1401,7,1401-07,1,5
INV000078,C01974,B99,1400-01-06,Online,OnlinePay,0.0,2364167.0,Completed,1400,1,1400-01,3,14
INV000079,C00707,B01,1401-09-08,Store,Card,0.0,1511303.0,Returned,1401,9,1401-09,4,10
INV000080,C00538,B04,1401-05-27,Store,Card,0.0,2.0,Completed,1401,5,1401-05,1,2
INV000081,C00065,B05,1402-06-30,Store,Card,0.0,963339.0,Completed,1402,6,1402-06,1,3
INV000082,C01512,B99,1405-01-10,Online,Card,136864.0,4135092.0,Completed,1405,1,1405-01,6,24
INV000083,C01122,B01,1402-08-03,Store,Card,0.0,311393.0,Completed,1402,8,1402-08,1,1
INV000084,C00725,B99,1404-11-08,Online,Card,0.0,3098051.0,Completed,1404,11,1404-11,4,16
INV000085,C00434,B08,1403-06-26,Store,OnlinePay,0.0,3950056.0,Completed,1403,6,1403-06,5,16
INV000086,C01667,B01,1400-01-15,Store,Card,0.0,3847267.0,Completed,1400,1,1400-01,6,22
INV000087,C01961,B07,1401-05-15,Store,Card,441310.0,2775375.0,Completed,1401,5,1401-05,6,20
INV000088,C00867,B07,1405-03-12,Store,Wallet,0.0,1321621.0,Completed,1405,3,1405-03,3,7
INV000089,C01073,B02,1403-09-25,Store,OnlinePay,11376.0,253204.0,Completed,1403,9,1403-09,1,2
INV000090,C01104,B07,1405-03-09,Store,Cash,456249.0,3637846.0,Completed,1405,3,1405-03,6,13
INV000091,C01710,B99,1402-02-17,Store,OnlinePay,0.0,2.0,Completed,1402,2,1402-02,1,2
INV000092,C01891,B99,1404-03-30,Store,Card,60726.0,294260.0,Completed,1404,3,1404-03,1,2
INV000093,C00412,B03,1404-07-06,App,Wallet,275094.0,3824276.0,Completed,1404,7,1404-07,6,18
INV000094,C00110,B99,1405-05-24,Store,Card,30982.0,297223.0,Completed,1405,5,1405-05,1,5
INV000095,C01937,B03,1400-02-14,Store,Card,0.0,3318745.0,Completed,1400,2,1400-02,4,13
INV000096,C01556,B04,1405-04-15,App,Cash,0.0,3.0,Completed,1405,4,1405-04,1,3
INV000097,C00956,B02,1402-08-11,Store,OnlinePay,0.0,6113316.0,Completed,1402,8,1402-08,6,19
INV000098,C01917,B06,1404-10-27,Store,Cash,0.0,2516960.0,Completed,1404,10,1404-10,4,11
INV000099,C01447,B05,1403-06-05,Store,OnlinePay,0.0,798695.0,Completed,1403,6,1403-06,2,7
INV000100,C00765,B03,1403-07-10,Store,Card,38663.0,1092658.0,Completed,1403,7,1403-07,2,4
INV000101,C02044,B06,1402-06-05,Store,OnlinePay,0.0,2222745.0,Completed,1402,6,1402-06,3,12
INV000102,C00112,B07,1404-10-11,App,Card,0.0,1759683.0,Completed,1404,10,1404-10,4,9
INV000103,C00297,B99,1401-11-16,Online,Card,0.0,5033158.0,Completed,1401,11,1401-11,6,18
INV000104,C01553,B06,1403-02-23,Store,Card,0.0,230756.0,Completed,1403,2,1403-02,1,4
INV000105,C01810,B99,1403-07-03,Store,Card,0.0,646183.0,Completed,1403,7,1403-07,3,7
INV000106,C01180,B03,1404-05-17,Store,Card,0.0,5608267.0,Completed,1404,5,1404-05,6,26
INV000107,C01825,B08,1403-01-15,Store,Wallet,0.0,1868821.0,Completed,1403,1,1403-01,3,9
INV000108,C01080,B05,1404-01-30,Store,Wallet,0.0,864632.0,Completed,1404,1,1404-01,2,8
INV000109,C00515,B99,1403-02-10,Store,OnlinePay,221796.0,1678795.0,Completed,1403,2,1403-02,2,5
INV000110,C01319,B03,1404-01-02,Store,OnlinePay,0.0,4151826.0,Completed,1404,1,1404-01,5,19
INV000111,C00841,B08,1404-01-19,Store,Card,45499.0,1765211.0,Completed,1404,1,1404-01,1,5
INV000112,C01292,B99,1404-03-18,Store,Wallet,480699.0,3968877.0,Completed,1404,3,1404-03,6,17
INV000113,C01354,B99,1404-10-02,Store,Wallet,0.0,1639232.0,Completed,1404,10,1404-10,4,13
INV000114,C01814,B99,1403-05-28,Store,Card,491850.0,3786832.0,Completed,1403,5,1403-05,5,19
INV000115,C01847,B02,1401-05-28,Store,OnlinePay,0.0,181860.0,Completed,1401,5,1401-05,1,3
INV000116,C00642,B05,1404-01-29,App,Card,304536.0,3596921.0,Completed,1404,1,1404-01,5,16
INV000117,C01919,B05,1400-08-02,Store,OnlinePay,0.0,1512308.0,Completed,1400,8,1400-08,2,8
INV000118,C02152,B07,1401-07-27,Store,OnlinePay,83964.0,2585496.0,Completed,1401,7,1401-07,3,8
INV000119,C00064,B04,1404-08-09,App,Card,0.0,1215545.0,Completed,1404,8,1404-08,1,5
INV000120,C01851,B08,1402-11-13,App,Cash,0.0,2871978.0,Completed,1402,11,1402-11,5,17
INV000121,C00682,B99,1403-03-03,Online,OnlinePay,0.0,322522.0,Completed,1403,3,1403-03,3,4
INV000122,C02106,B99,1405-06-12,Store,Cash,99646.0,3831612.0,Completed,1405,6,1405-06,4,11
INV000123,C00005,B99,1401-09-06,Online,Card,0.0,1712552.0,Completed,1401,9,1401-09,4,13
INV000124,C00585,B05,1400-02-18,Store,Card,0.0,1955169.0,Completed,1400,2,1400-02,4,14
INV000125,C01295,B05,1400-11-09,Store,Card,0.0,1915416.0,Completed,1400,11,1400-11,3,12
INV000126,C01459,B01,1401-09-29,Store,Card,0.0,606244.0,Returned,1401,9,1401-09,1,4
INV000127,C00858,B99,1404-04-16,Online,Card,5462.0,67752.0,Completed,1404,4,1404-04,1,1
INV000128,C00164,B99,1404-07-11,Online,Card,0.0,898302.0,Completed,1404,7,1404-07,1,2
INV000129,C01961,B07,1403-07-11,App,Card,0.0,4362163.0,Completed,1403,7,1403-07,5,22
INV000130,C02018,B01,1401-10-25,Store,Card,0.0,2591639.0,Completed,1401,10,1401-10,4,12
INV000131,C01381,B99,1403-04-19,Store,Card,0.0,1124279.0,Completed,1403,4,1403-04,2,4
INV000132,C00919,B99,1400-02-04,Store,OnlinePay,0.0,2192506.0,Completed,1400,2,1400-02,2,8
INV000133,C00183,B01,1404-02-02,Store,Card,0.0,724284.0,Completed,1404,2,1404-02,1,2
INV000134,C00986,B99,1403-10-14,Online,Card,0.0,3639409.0,Completed,1403,10,1403-10,6,19
INV000135,C00803,B99,1400-02-24,Store,OnlinePay,0.0,2420504.0,Completed,1400,2,1400-02,4,11
INV000136,C01678,B02,1404-09-21,Store,Cash,0.0,2034230.0,Completed,1404,9,1404-09,2,6
INV000137,C00358,B02,1404-06-23,Store,Card,0.0,3654770.0,Completed,1404,6,1404-06,6,13
INV000138,C00560,B99,1402-02-13,Online,Card,142979.0,4518954.0,Completed,1402,2,1402-02,6,17
INV000139,C00483,B07,1403-11-23,Store,OnlinePay,0.0,6926142.0,Completed,1403,11,1403-11,6,22
INV000140,C01073,B99,1403-09-20,Online,Card,0.0,2592429.0,Cancelled,1403,9,1403-09,6,12
INV000141,C01928,B99,1401-01-23,Online,OnlinePay,0.0,722763.0,Completed,1401,1,1401-01,2,9
INV000142,C00342,B99,1401-05-28,App,Card,0.0,3746764.0,Completed,1401,5,1401-05,6,16
INV000143,C01104,B99,1404-02-04,Store,Card,0.0,2246900.0,Completed,1404,2,1404-02,3,10
INV000144,C00324,B07,1405-03-15,Store,Card,0.0,2918084.0,Completed,1405,3,1405-03,6,12
INV000145,C01511,B03,1403-08-02,Store,Wallet,102247.0,956496.0,Completed,1403,8,1403-08,2,5
INV000146,C01392,B02,1403-07-16,Store,OnlinePay,0.0,1491787.0,Completed,1403,7,1403-07,3,5
INV000147,C00461,B05,1403-12-12,App,OnlinePay,0.0,2951821.0,Completed,1403,12,1403-12,5,11
INV000148,C01162,B07,1402-11-25,Store,Cash,0.0,1660485.0,Completed,1402,11,1402-11,4,12
INV000149,C00419,B02,1400-05-30,Store,Card,118557.0,3173424.0,Completed,1400,5,1400-05,6,16
INV000150,C00593,B99,1402-08-21,Online,Card,324059.0,5244250.0,Completed,1402,8,1402-08,6,18
INV000151,C01677,B06,1405-01-26,Store,Wallet,246815.0,3018740.0,Completed,1405,1,1405-01,5,12
INV000152,C00720,B05,1404-08-30,Store,OnlinePay,0.0,4955094.0,Completed,1404,8,1404-08,5,17
INV000153,C01454,B03,1405-03-06,Store,Card,0.0,1557825.0,Completed,1405,3,1405-03,3,8
INV000154,C01748,B99,1401-02-15,Store,Card,0.0,2065200.0,Completed,1401,2,1401-02,4,10
INV000155,C00069,B99,1403-03-18,App,Card,0.0,5726495.0,Completed,1403,3,1403-03,6,17
INV000156,C00562,B99,1403-08-18,Store,Wallet,0.0,1748818.0,Completed,1403,8,1403-08,4,11
INV000157,C00571,B02,1401-07-06,Store,Wallet,0.0,6700670.0,Completed,1401,7,1401-07,6,23
INV000158,C00485,B03,1401-06-16,Store,OnlinePay,0.0,358377.0,Completed,1401,6,1401-06,1,1
INV000159,C02135,B01,1404-07-21,Store,Cash,0.0,4212763.0,Completed,1404,7,1404-07,6,15
INV000160,C02193,B03,1404-01-16,Store,Card,0.0,3370059.0,Completed,1404,1,1404-01,6,17
INV000161,C01262,B04,1403-12-13,Store,Card,0.0,1074021.0,Completed,1403,12,1403-12,1,3
INV000162,C01300,B99,1401-11-24,Online,Wallet,80504.0,1854311.0,Completed,1401,11,1401-11,1,5
INV000163,C00581,B06,1403-03-20,Store,Wallet,0.0,2126061.0,Completed,1403,3,1403-03,4,10
INV000164,C02116,B02,1400-02-28,Store,Cash,122477.0,1463864.0,Completed,1400,2,1400-02,5,15
INV000165,C00993,B04,1400-12-28,Store,Card,0.0,2119834.0,Completed,1400,12,1400-12,4,12
INV000166,C00001,B04,1403-04-12,Store,Card,0.0,2808877.0,Completed,1403,4,1403-04,2,9
INV000167,C01551,B99,1402-02-16,Online,OnlinePay,0.0,2545741.0,Completed,1402,2,1402-02,5,8
INV000168,C01875,B01,1405-05-07,Store,Wallet,0.0,3530974.0,Completed,1405,5,1405-05,4,17
INV000169,C01286,B07,1403-01-15,Store,Cash,165366.0,3931095.0,Completed,1403,1,1403-01,6,19
INV000170,C01232,B06,1400-08-20,Store,Card,16662.0,380208.0,Completed,1400,8,1400-08,1,3
INV000171,C00511,B06,1400-02-13,Store,Card,21973.0,919299.0,Completed,1400,2,1400-02,1,4
INV000172,C00462,B01,1404-04-15,App,Card,477440.0,3090420.0,Completed,1404,4,1404-04,6,14
INV000173,C00610,B02,1401-03-30,Store,Card,0.0,1868805.0,Completed,1401,3,1401-03,2,6
INV000174,C00633,B01,1401-05-13,Store,Cash,0.0,1606942.0,Completed,1401,5,1401-05,2,8
INV000175,C01712,B99,1402-10-20,Store,OnlinePay,0.0,2232644.0,Completed,1402,10,1402-10,6,16
INV000176,C00723,B99,1401-11-16,Online,Cash,0.0,757805.0,Completed,1401,11,1401-11,1,5
INV000177,C00150,B99,1403-10-18,Online,OnlinePay,0.0,586463.0,Completed,1403,10,1403-10,2,3
INV000178,C01666,B03,1403-02-11,Store,Card,502201.0,2294205.0,Completed,1403,2,1403-02,6,17
INV000179,C00417,B03,1400-11-10,Store,Card,0.0,1464885.0,Completed,1400,11,1400-11,1,5
INV000180,C01206,B04,1404-07-26,Store,Wallet,84564.0,1422710.0,Completed,1404,7,1404-07,4,7
INV000181,C00273,B99,1402-10-24,Online,OnlinePay,0.0,3126946.0,Completed,1402,10,1402-10,4,14
INV000182,C00410,B08,1403-10-07,App,Card,0.0,137063.0,Completed,1403,10,1403-10,1,1
INV000183,C01416,B99,1400-01-08,App,Wallet,165797.0,2466416.0,Completed,1400,1,1400-01,5,10
INV000184,C01058,B04,1403-11-06,Store,OnlinePay,0.0,2273511.0,Completed,1403,11,1403-11,3,13
INV000185,C01165,B06,1401-12-27,Store,Cash,0.0,2870514.0,Completed,1401,12,1401-12,6,11
INV000186,C01077,B03,1403-02-27,Store,Card,196917.0,4882569.0,Completed,1403,2,1403-02,6,15
INV000187,C00949,B06,1402-01-22,Store,Card,0.0,2206745.0,Completed,1402,1,1402-01,6,17
INV000188,C00326,B03,1405-06-26,Store,Card,0.0,4401839.0,Completed,1405,6,1405-06,5,15
INV000189,C01968,B99,1401-08-26,Online,OnlinePay,0.0,3293400.0,Completed,1401,8,1401-08,3,10
INV000190,C00902,B99,1405-02-14,App,OnlinePay,0.0,2217681.0,Completed,1405,2,1405-02,5,14
INV000191,C01918,B02,1405-02-22,Store,OnlinePay,240102.0,2894902.0,Completed,1405,2,1405-02,3,13
INV000192,C00280,B99,1402-10-14,Online,OnlinePay,107358.0,3240218.0,Completed,1402,10,1402-10,4,10
INV000193,C01355,B07,1402-02-04,Store,Cash,0.0,1027837.0,Completed,1402,2,1402-02,3,8
INV000194,C00251,B99,1402-07-18,Online,Card,0.0,3696955.0,Completed,1402,7,1402-07,6,16
INV000195,C00068,B99,1405-06-15,Store,Card,66254.0,1137652.0,Completed,1405,6,1405-06,2,6
INV000196,C01600,B99,1403-10-23,Online,Card,0.0,682709.0,Completed,1403,10,1403-10,3,7
INV000197,C01593,B02,1403-06-05,Store,Card,0.0,792402.0,Completed,1403,6,1403-06,2,3
INV000198,C01981,B04,1400-04-03,Store,OnlinePay,6655.0,285230.0,Completed,1400,4,1400-04,1,5
INV000199,C00965,B03,1404-11-13,Store,Card,0.0,3305186.0,Completed,1404,11,1404-11,4,13
INV000200,C01059,B99,1400-08-21,Store,Cash,0.0,609248.0,Completed,1400,8,1400-08,1,2
INV000201,C00283,B08,1400-05-07,Store,Wallet,0.0,7113906.0,Completed,1400,5,1400-05,6,25
INV000202,C00968,B06,1401-12-11,App,Wallet,45988.0,636182.0,Completed,1401,12,1401-12,1,3
INV000203,C01056,B02,1403-01-23,Store,Cash,0.0,2437951.0,Completed,1403,1,1403-01,3,9
INV000204,C02155,B99,1405-01-18,Store,Card,115202.0,846017.0,Completed,1405,1,1405-01,3,7
INV000205,C00023,B04,1404-08-05,Store,OnlinePay,0.0,3717881.0,Completed,1404,8,1404-08,5,13
INV000206,C00194,B99,1401-06-08,Online,Card,0.0,134324.0,Completed,1401,6,1401-06,1,1
INV000207,C01164,B99,1402-07-01,Online,Card,144188.0,3701657.0,Completed,1402,7,1402-07,4,11
INV000208,C01386,B02,1404-07-18,Store,OnlinePay,0.0,3275401.0,Completed,1404,7,1404-07,4,12
INV000209,C01190,B07,1403-04-31,Store,Cash,0.0,2314723.0,Completed,1403,4,1403-04,3,9
INV000210,C00188,B99,1401-04-07,Online,Card,0.0,2131695.0,Completed,1401,4,1401-04,2,10
INV000211,C00380,B99,1402-08-20,Online,Cash,0.0,1942985.0,Completed,1402,8,1402-08,4,11
INV000212,C00163,B01,1403-11-05,Store,Cash,0.0,470302.0,Completed,1403,11,1403-11,1,2
INV000213,C01308,B99,1405-05-20,Online,Cash,0.0,2252992.0,Completed,1405,5,1405-05,2,8
INV000214,C00498,B01,1404-01-04,Store,Wallet,0.0,3909158.0,Completed,1404,1,1404-01,5,11
INV000215,C00679,B03,1400-02-08,Store,Card,4244.0,76063.0,Completed,1400,2,1400-02,1,1
INV000216,C00053,B99,1404-03-10,Online,Cash,0.0,2780539.0,Completed,1404,3,1404-03,6,19
INV000217,C00268,B08,1401-10-15,Store,OnlinePay,204072.0,4393681.0,Completed,1401,10,1401-10,4,12
INV000218,C01312,B99,1404-12-06,Online,Wallet,0.0,1215545.0,Completed,1404,12,1404-12,1,5
INV000219,C00854,B07,1402-07-24,Store,Card,0.0,1572324.0,Completed,1402,7,1402-07,2,7
INV000220,C00955,B04,1401-06-13,Store,Card,163851.0,3919842.0,Completed,1401,6,1401-06,5,16
INV000221,C01540,B05,1403-01-11,App,Card,7025.0,296526.0,Completed,1403,1,1403-01,1,1
INV000222,C01447,B08,1401-10-26,App,Cash,55787.0,1637665.0,Completed,1401,10,1401-10,2,8
INV000223,C00298,B04,1401-09-08,Store,Cash,0.0,2616144.0,Completed,1401,9,1401-09,3,10
INV000224,C01800,B01,1403-07-26,Store,Cash,0.0,7053947.0,Completed,1403,7,1403-07,6,21
INV000225,C02116,B08,1404-06-30,Store,Card,0.0,3125350.0,Cancelled,1404,6,1404-06,6,17
INV000226,C00891,B99,1404-10-22,Store,Card,539662.0,6468402.0,Completed,1404,10,1404-10,4,19
INV000227,C02069,B05,1402-08-24,Store,Card,130686.0,1890386.0,Completed,1402,8,1402-08,3,12
INV000228,C01573,B04,1400-07-04,App,Card,36426.0,194330.0,Completed,1400,7,1400-07,1,4
INV000229,C01887,B99,1403-02-08,Online,Wallet,0.0,5284259.0,Completed,1403,2,1403-02,5,16
INV000230,C00012,B08,1402-11-10,Store,Card,0.0,3253775.0,Completed,1402,11,1402-11,3,11
INV000231,C01464,B02,1401-06-06,Store,Card,0.0,4934666.0,Completed,1401,6,1401-06,6,15
INV000232,C00983,B01,1405-01-19,Store,Card,8051.0,168330.0,Completed,1405,1,1405-01,1,1
INV000233,C01899,B08,1405-05-21,Store,OnlinePay,89020.0,754574.0,Completed,1405,5,1405-05,3,7
INV000234,C02059,B07,1400-05-22,Store,OnlinePay,0.0,2577077.0,Completed,1400,5,1400-05,2,9
INV000235,C01893,B99,1404-08-15,Store,OnlinePay,173654.0,2128239.0,Completed,1404,8,1404-08,4,14
INV000236,C01322,B02,1403-12-11,Store,OnlinePay,117094.0,1291542.0,Completed,1403,12,1403-12,3,7
INV000237,C00023,B99,1401-11-10,Online,OnlinePay,32019.0,1017033.0,Completed,1401,11,1401-11,3,5
INV000239,C00660,B99,1400-12-24,Online,Card,0.0,3159569.0,Completed,1400,12,1400-12,3,10
INV000240,C00512,B04,1400-07-10,Store,Card,0.0,2038751.0,Completed,1400,7,1400-07,6,15
INV000241,C00070,B99,1405-06-21,Online,Card,0.0,3125369.0,Completed,1405,6,1405-06,3,11
INV000242,C01393,B99,1403-11-25,Online,Card,0.0,1797176.0,Completed,1403,11,1403-11,3,8
INV000243,C01052,B03,1401-10-21,App,Cash,203664.0,1402911.0,Completed,1401,10,1401-10,2,7
INV000244,C01854,B05,1402-12-12,Store,Cash,0.0,1659251.0,Completed,1402,12,1402-12,2,6
INV000245,C00967,B04,1405-04-11,App,OnlinePay,0.0,3559398.0,Completed,1405,4,1405-04,4,12
INV000246,C00371,B99,1402-11-21,Store,Cash,180309.0,5149629.0,Completed,1402,11,1402-11,5,17
INV000247,C00209,B06,1405-01-26,Store,Card,0.0,3518801.0,Completed,1405,1,1405-01,4,13
INV000248,C02030,B05,1404-12-15,App,OnlinePay,0.0,4695532.0,Completed,1404,12,1404-12,4,15
INV000249,C01794,B02,1402-04-31,Store,Card,0.0,3174178.0,Completed,1402,4,1402-04,3,11
INV000250,C01142,B99,1404-02-26,Online,Card,0.0,1752395.0,Completed,1404,2,1404-02,4,9
INV000251,C00401,B01,1404-01-03,App,Card,258241.0,4122601.0,Completed,1404,1,1404-01,6,24
INV000252,C02191,B02,1404-07-04,Store,Card,0.0,1086426.0,Completed,1404,7,1404-07,1,3
INV000253,C01191,B08,1402-06-19,App,OnlinePay,0.0,1805866.0,Returned,1402,6,1402-06,3,13
INV000254,C00705,B99,1400-05-24,Online,Card,0.0,423365.0,Cancelled,1400,5,1400-05,2,4
