InvoiceItemID,InvoiceID,ProductID,Quantity,UnitPrice,LineDiscount,LineTotal
II0000037,INV000012,P0087,2.0,56286.0,0.0,112572.0
II0000038,INV000012,P0086,2.0,105903.0,0.0,211806.0
II0000039,INV000012,P0076,2.0,60620.0,0.0,121240.0
II0000040,INV000013,P0069,3.0,292977.0,0.0,878931.0
II0000041,INV000013,P0072,3.0,446721.0,0.0,1340163.0
II0000042,INV000013,P0058,2.0,1.0,0.0,2.0
II0000043,INV000013,P0077,5.0,22282.0,0.0,111410.0
II0000044,INV000014,P0080,4.0,396061.0,223227.0,1361017.0
II0000045,INV000014,P0037,5.0,423362.0,132420.0,1984390.0
II0000046,INV000014,P0043,5.0,132290.0,32952.0,628498.0
II0000047,INV000014,P0066,5.0,118992.0,85559.0,509401.0
II0000048,INV000014,P0011,2.0,346756.0,50605.0,642907.0
II0000049,INV000014,P0047,1.0,219178.0,23169.0,196009.0
II0000050,INV000015,P0057,2.0,138614.0,37936.0,239292.0
II0000051,INV000015,P0036,1.0,218607.0,17619.0,200988.0
II0000052,INV000015,P0090,1.0,305031.0,33083.0,271948.0
II0000053,INV000015,P0003,1.0,246385.0,12469.0,233916.0
II0000054,INV000015,P0082,5.0,235318.0,136479.0,1040111.0
II0000055,INV000015,P0018,5.0,321113.0,86857.0,1518708.0
II0000056,INV000016,P0043,3.0,132290.0,37224.0,359646.0
II0000057,INV000016,P0049,2.0,1.0,0.0,2.0
II0000058,INV000016,P0022,4.0,358377.0,63504.0,1370004.0
II0000059,INV000016,P0039,3.0,313991.0,63399.0,878574.0
II0000060,INV000017,P0017,5.0,424331.0,381209.0,1740446.0
II0000061,INV000017,P0060,1.0,243889.0,31806.0,212083.0
II0000062,INV000017,P0069,3.0,292977.0,134770.0,744161.0
II0000063,INV000017,P0001,4.0,58377.0,45442.0,188066.0
II0000064,INV000017,P0010,5.0,437400.0,243690.0,1943310.0
II0000065,INV000017,P0023,1.0,139162.0,18142.0,121020.0
II0000066,INV000018,P0082,2.0,235318.0,0.0,470636.0
II0000067,INV000018,P0049,4.0,1.0,0.0,4.0
II0000068,INV000018,P0026,1.0,263051.0,0.0,263051.0
II0000069,INV000018,P0001,1.0,58377.0,0.0,58377.0
II0000070,INV000018,P0062,2.0,80307.0,0.0,160614.0
II0000071,INV000018,P0012,3.0,38835.0,0.0,116505.0
II0000072,INV000019,P0077,4.0,22282.0,12427.0,76701.0
II0000073,INV000020,P0058,4.0,1.0,0.0,4.0
II0000074,INV000020,P0063,2.0,306375.0,53252.0,559498.0
II0000075,INV000020,P0056,4.0,227390.0,58560.0,851000.0
II0000076,INV000020,P0069,2.0,292977.0,33857.0,552097.0
II0000077,INV000020,P0033,5.0,448325.0,93901.0,2147724.0
II0000078,INV000020,P0082,4.0,235318.0,41105.0,900167.0
II0000079,INV000021,P0066,5.0,118992.0,9738.0,585222.0
II0000080,INV000021,P0072,2.0,446721.0,20585.0,872857.0
II0000081,INV000021,P0025,5.0,209033.0,40674.0,1004491.0
II0000082,INV000022,P0036,2.0,218607.0,20429.0,416785.0
II0000083,INV000022,P0002,5.0,389197.0,69143.0,1876842.0
II0000084,INV000022,P0063,3.0,306375.0,39056.0,880069.0
II0000085,INV000022,P0022,5.0,358377.0,58333.0,1733552.0
II0000086,INV000023,P0065,1.0,1.0,0.0,1.0
II0000087,INV000023,P0074,5.0,243109.0,0.0,1215545.0
II0000088,INV000023,P0057,3.0,138614.0,0.0,415842.0
II0000089,INV000023,P0041,2.0,177493.0,0.0,354986.0
II0000090,INV000024,P0088,5.0,73214.0,0.0,366070.0
II0000091,INV000024,P0022,2.0,358377.0,0.0,716754.0
II0000092,INV000024,P0061,5.0,176381.0,0.0,881905.0
II0000093,INV000025,P0004,4.0,358007.0,0.0,1432028.0
II0000094,INV000025,P0031,1.0,387938.0,0.0,387938.0
II0000095,INV000025,P0040,3.0,57689.0,0.0,173067.0
II0000096,INV000025,P0067,4.0,255125.0,0.0,1020500.0
II0000097,INV000025,P0083,5.0,94939.0,0.0,474695.0
II0000098,INV000026,P0012,5.0,38835.0,8162.0,186013.0
II0000099,INV000026,P0047,4.0,219178.0,70532.0,806180.0
II0000100,INV000027,P0031,3.0,387938.0,174263.0,989551.0
II0000101,INV000027,P0071,3.0,249257.0,149144.0,598627.0
II0000102,INV000028,P0019,3.0,207143.0,0.0,621429.0
II0000103,INV000028,P0046,5.0,151561.0,0.0,757805.0
II0000104,INV000028,P0021,1.0,378076.0,0.0,378076.0
II0000105,INV000029,P0090,1.0,305031.0,8789.0,296242.0
II0000106,INV000029,P0055,5.0,146743.0,33603.0,700112.0
II0000107,INV000029,P0089,3.0,438441.0,30319.0,1285004.0
II0000108,INV000029,P0074,4.0,243109.0,20643.0,951793.0
II0000109,INV000029,P0012,2.0,38835.0,1387.0,76283.0
II0000110,INV000030,P0087,2.0,56286.0,0.0,112572.0
II0000111,INV000030,P0027,3.0,263110.0,0.0,789330.0
II0000112,INV000030,P0088,1.0,73214.0,0.0,73214.0
II0000113,INV000030,P0040,3.0,57689.0,0.0,173067.0
II0000114,INV000030,P0071,5.0,249257.0,0.0,1246285.0
II0000115,INV000030,P0040,1.0,57689.0,0.0,57689.0
II0000116,INV000031,P0029,3.0,442577.0,233838.0,1093893.0
II0000117,INV000031,P0017,3.0,424331.0,233305.0,1039688.0
II0000118,INV000031,P0048,1.0,329369.0,64079.0,265290.0
II0000119,INV000032,P0059,4.0,367266.0,0.0,1469064.0
II0000120,INV000032,P0040,1.0,57689.0,0.0,57689.0
II0000121,INV000032,P0070,1.0,130064.0,0.0,130064.0
II0000122,INV000032,P0031,5.0,387938.0,0.0,1939690.0
II0000123,INV000033,P0067,3.0,255125.0,0.0,765375.0
II0000124,INV000033,P0076,1.0,60620.0,0.0,60620.0
II0000125,INV000034,P0089,4.0,438441.0,0.0,1753764.0
II0000126,INV000034,P0064,5.0,303551.0,0.0,1517755.0
II0000127,INV000034,P0023,1.0,139162.0,0.0,139162.0
II0000128,INV000034,P0069,2.0,292977.0,0.0,585954.0
II0000129,INV000034,P0085,2.0,418826.0,0.0,837652.0
II0000130,INV000035,P0032,4.0,304624.0,0.0,1218496.0
II0000131,INV000035,P0090,4.0,305031.0,0.0,1220124.0
II0000132,INV000036,P0047,2.0,219178.0,10063.0,428293.0
II0000133,INV000036,P0054,1.0,269856.0,4067.0,265789.0
II0000134,INV000036,P0074,2.0,243109.0,21224.0,464994.0
II0000135,INV000036,P0080,2.0,396061.0,12867.0,779255.0
II0000136,INV000037,P0054,1.0,269856.0,0.0,269856.0
II0000137,INV000037,P0087,4.0,56286.0,0.0,225144.0
II0000138,INV000038,P0065,4.0,1.0,0.0,4.0
II0000139,INV000038,P0074,4.0,243109.0,0.0,972436.0
II0000140,INV000039,P0018,1.0,321113.0,0.0,321113.0
II0000141,INV000039,P0072,1.0,446721.0,0.0,446721.0
II0000142,INV000040,P0074,2.0,243109.0,0.0,486218.0
II0000143,INV000040,P0083,4.0,94939.0,0.0,379756.0
II0000144,INV000040,P0008,5.0,47441.0,0.0,237205.0
II0000145,INV000040,P0083,1.0,94939.0,0.0,94939.0
II0000146,INV000040,P0056,3.0,227390.0,0.0,682170.0
II0000147,INV000041,P0027,2.0,263110.0,0.0,526220.0
II0000148,INV000041,P0026,2.0,263051.0,0.0,526102.0
II0000149,INV000041,P0021,1.0,378076.0,0.0,378076.0
II0000150,INV000041,P0018,2.0,321113.0,0.0,642226.0
II0000151,INV000041,P0011,4.0,346756.0,0.0,1387024.0
II0000152,INV000041,P0037,5.0,423362.0,0.0,2116810.0
II0000153,INV000042,P0042,1.0,134324.0,0.0,134324.0
II0000154,INV000042,P0072,5.0,446721.0,0.0,2233605.0
II0000155,INV000043,P0090,3.0,305031.0,27699.0,887394.0
II0000156,INV000044,P0039,4.0,313991.0,0.0,1255964.0
II0000157,INV000044,P0059,1.0,367266.0,0.0,367266.0
II0000158,INV000044,P0051,1.0,97166.0,0.0,97166.0
II0000159,INV000044,P0003,2.0,246385.0,0.0,492770.0
II0000160,INV000045,P0060,1.0,243889.0,0.0,243889.0
II0000161,INV000045,P0071,5.0,249257.0,0.0,1246285.0
II0000162,INV000045,P0023,5.0,139162.0,0.0,695810.0
II0000163,INV000046,P0003,2.0,246385.0,0.0,492770.0
II0000164,INV000046,P0027,2.0,263110.0,0.0,526220.0
II0000165,INV000046,P0033,2.0,448325.0,0.0,896650.0
II0000166,INV000047,P0075,4.0,164300.0,0.0,657200.0
II0000167,INV000047,P0036,1.0,218607.0,0.0,218607.0
II0000168,INV000047,P0088,4.0,73214.0,0.0,292856.0
II0000169,INV000047,P0031,4.0,387938.0,0.0,1551752.0
II0000170,INV000047,P0008,3.0,47441.0,0.0,142323.0
II0000171,INV000047,P0084,3.0,311393.0,0.0,934179.0
II0000172,INV000048,P0083,2.0,94939.0,13137.0,176741.0
II0000173,INV000048,P0057,1.0,138614.0,10849.0,127765.0
II0000174,INV000048,P0046,5.0,151561.0,54533.0,703272.0
II0000175,INV000048,P0064,3.0,303551.0,70371.0,840282.0
II0000176,INV000048,P0041,2.0,177493.0,24355.0,330631.0
II0000177,INV000049,P0069,5.0,292977.0,0.0,1464885.0
II0000178,INV000049,P0032,1.0,304624.0,0.0,304624.0
II0000179,INV000049,P0011,2.0,346756.0,0.0,693512.0
II0000180,INV000049,P0069,5.0,292977.0,0.0,1464885.0
II0000181,INV000050,P0033,4.0,448325.0,0.0,1793300.0
II0000182,INV000050,P0023,4.0,139162.0,0.0,556648.0
II0000183,INV000051,P0076,2.0,60620.0,0.0,121240.0
II0000184,INV000051,P0045,3.0,74858.0,0.0,224574.0
II0000185,INV000052,P0076,3.0,60620.0,0.0,181860.0
II0000186,INV000052,P0089,2.0,438441.0,0.0,876882.0
II0000187,INV000052,P0021,4.0,378076.0,0.0,1512304.0
II0000188,INV000052,P0040,2.0,57689.0,0.0,115378.0
II0000189,INV000052,P0019,2.0,207143.0,0.0,414286.0
II0000190,INV000053,P0011,3.0,346756.0,0.0,1040268.0
II0000191,INV000053,P0053,2.0,361197.0,0.0,722394.0
II0000192,INV000053,P0085,2.0,418826.0,0.0,837652.0
II0000193,INV000054,P0051,1.0,97166.0,0.0,97166.0
II0000194,INV000054,P0052,2.0,82145.0,0.0,164290.0
II0000195,INV000054,P0014,3.0,1.0,0.0,3.0
II0000196,INV000054,P0022,3.0,358377.0,0.0,1075131.0
II0000197,INV000055,P0085,1.0,418826.0,0.0,418826.0
II0000198,INV000055,P0071,4.0,249257.0,0.0,997028.0
II0000199,INV000055,P0032,4.0,304624.0,0.0,1218496.0
II0000200,INV000056,P0033,4.0,448325.0,0.0,1793300.0
II0000201,INV000056,P0060,2.0,243889.0,0.0,487778.0
II0000202,INV000057,P0069,1.0,292977.0,27173.0,265804.0
II0000203,INV000057,P0061,5.0,176381.0,155204.0,726701.0
II0000204,INV000057,P0061,2.0,176381.0,44956.0,307806.0
II0000205,INV000057,P0058,3.0,1.0,0.0,3.0
II0000206,INV000058,P0017,4.0,424331.0,0.0,1697324.0
II0000207,INV000058,P0070,1.0,130064.0,0.0,130064.0
II0000208,INV000059,P0018,2.0,321113.0,52457.0,589769.0
II0000209,INV000060,P0036,5.0,218607.0,0.0,1093035.0
II0000210,INV000060,P0015,4.0,362142.0,0.0,1448568.0
II0000211,INV000061,P0039,1.0,313991.0,0.0,313991.0
II0000212,INV000061,P0067,5.0,255125.0,0.0,1275625.0
II0000213,INV000061,P0084,5.0,311393.0,0.0,1556965.0
II0000214,INV000061,P0077,3.0,22282.0,0.0,66846.0
II0000215,INV000062,P0068,2.0,367548.0,0.0,735096.0
II0000216,INV000062,P0049,5.0,1.0,0.0,5.0
II0000217,INV000062,P0070,1.0,130064.0,0.0,130064.0
II0000218,INV000063,P0033,5.0,448325.0,0.0,2241625.0
II0000219,INV000063,P0057,4.0,138614.0,0.0,554456.0
II0000220,INV000064,P0064,4.0,303551.0,172351.0,1041853.0
II0000221,INV000064,P0029,3.0,442577.0,119095.0,1208636.0
II0000222,INV000065,P0003,3.0,246385.0,31615.0,707540.0
II0000223,INV000065,P0061,3.0,176381.0,14993.0,514150.0
II0000224,INV000065,P0068,2.0,367548.0,33615.0,701481.0
II0000225,INV000065,P0084,2.0,311393.0,26190.0,596596.0
II0000226,INV000065,P0032,5.0,304624.0,48886.0,1474234.0
II0000227,INV000066,P0070,5.0,130064.0,63594.0,586726.0
II0000228,INV000066,P0019,1.0,207143.0,17012.0,190131.0
II0000229,INV000066,P0047,5.0,219178.0,58146.0,1037744.0
II0000230,INV000066,P0029,4.0,442577.0,96241.0,1674067.0
II0000231,INV000066,P0033,4.0,448325.0,92660.0,1700640.0
II0000232,INV000066,P0006,3.0,296862.0,82947.0,807639.0
II0000233,INV000067,P0055,4.0,146743.0,74765.0,512207.0
II0000234,INV000067,P0021,1.0,378076.0,55369.0,322707.0
II0000235,INV000067,P0083,4.0,94939.0,72381.0,307375.0
II0000236,INV000067,P0052,3.0,82145.0,20209.0,226226.0
II0000237,INV000067,P0031,2.0,387938.0,135826.0,640050.0
II0000238,INV000068,P0013,5.0,1.0,0.0,5.0
II0000239,INV000068,P0038,3.0,211847.0,32188.0,603353.0
II0000240,INV000068,P0069,2.0,292977.0,47960.0,537994.0
II0000241,INV000069,P0062,2.0,80307.0,6469.0,154145.0
II0000242,INV000069,P0029,5.0,442577.0,59006.0,2153879.0
II0000243,INV000069,P0065,3.0,1.0,0.0,3.0
II0000244,INV000069,P0025,2.0,209033.0,9104.0,408962.0
II0000245,INV000069,P0067,1.0,255125.0,6106.0,249019.0
II0000246,INV000070,P0051,3.0,97166.0,0.0,291498.0
II0000247,INV000070,P0088,1.0,73214.0,0.0,73214.0
II0000248,INV000070,P0014,1.0,1.0,0.0,1.0
II0000249,INV000071,P0035,2.0,65641.0,26072.0,105210.0
II0000250,INV000071,P0051,5.0,97166.0,52706.0,433124.0
II0000251,INV000072,P0079,4.0,341097.0,60512.0,1303876.0
II0000252,INV000072,P0016,3.0,224553.0,12059.0,661600.0
II0000253,INV000072,P0039,1.0,313991.0,5437.0,308554.0
II0000254,INV000072,P0014,1.0,1.0,0.0,1.0
II0000255,INV000072,P0061,4.0,176381.0,19612.0,685912.0
II0000256,INV000073,P0007,1.0,213697.0,6731.0,206966.0
II0000257,INV000074,P0037,1.0,423362.0,0.0,423362.0
II0000258,INV000075,P0064,5.0,303551.0,0.0,1517755.0
II0000259,INV000076,P0018,4.0,321113.0,0.0,1284452.0
II0000260,INV000076,P0082,5.0,235318.0,0.0,1176590.0
II0000261,INV000077,P0029,5.0,442577.0,0.0,2212885.0
II0000262,INV000078,P0041,4.0,177493.0,0.0,709972.0
II0000263,INV000078,P0038,5.0,211847.0,0.0,1059235.0
II0000264,INV000078,P0066,5.0,118992.0,0.0,594960.0
II0000265,INV000079,P0060,2.0,243889.0,0.0,487778.0
II0000266,INV000079,P0056,1.0,227390.0,0.0,227390.0
II0000267,INV000079,P0009,4.0,91048.0,0.0,364192.0
II0000268,INV000079,P0020,3.0,143981.0,0.0,431943.0
II0000269,INV000080,P0065,2.0,1.0,0.0,2.0
II0000270,INV000081,P0018,3.0,321113.0,0.0,963339.0
II0000271,INV000082,P0049,4.0,1.0,0.0,4.0
II0000272,INV000082,P0049,4.0,1.0,0.0,4.0
II0000273,INV000082,P0022,3.0,358377.0,30274.0,1044857.0
II0000274,INV000082,P0039,4.0,313991.0,60845.0,1195119.0
II0000275,INV000082,P0066,4.0,118992.0,12639.0,463329.0
II0000276,INV000082,P0069,5.0,292977.0,33106.0,1431779.0
II0000277,INV000083,P0084,1.0,311393.0,0.0,311393.0
II0000278,INV000084,P0021,3.0,378076.0,0.0,1134228.0
II0000279,INV000084,P0020,3.0,143981.0,0.0,431943.0
II0000280,INV000084,P0058,5.0,1.0,0.0,5.0
II0000281,INV000084,P0063,5.0,306375.0,0.0,1531875.0
II0000282,INV000085,P0005,5.0,235151.0,0.0,1175755.0
II0000283,INV000085,P0038,1.0,211847.0,0.0,211847.0
II0000284,INV000085,P0040,2.0,57689.0,0.0,115378.0
II0000285,INV000085,P0053,5.0,361197.0,0.0,1805985.0
II0000286,INV000085,P0007,3.0,213697.0,0.0,641091.0
II0000287,INV000086,P0057,5.0,138614.0,0.0,693070.0
II0000288,INV000086,P0001,5.0,58377.0,0.0,
II0000289,INV000086,P0006,4.0,296862.0,0.0,1187448.0
II0000290,INV000086,P0002,1.0,389197.0,0.0,389197.0
II0000291,INV000086,P0086,5.0,105903.0,0.0,529515.0
II0000292,INV000086,P0021,2.0,378076.0,0.0,756152.0
II0000293,INV000087,P0088,4.0,73214.0,23992.0,268864.0
II0000294,INV000087,P0046,4.0,151561.0,91021.0,515223.0
II0000295,INV000087,P0056,5.0,227390.0,135396.0,1001554.0
II0000296,INV000087,P0052,3.0,82145.0,33211.0,213224.0
II0000297,INV000087,P0053,2.0,361197.0,128054.0,594340.0
II0000298,INV000087,P0086,2.0,105903.0,29636.0,182170.0
II0000299,INV000088,P0066,3.0,118992.0,0.0,356976.0
II0000300,INV000088,P0082,1.0,235318.0,0.0,235318.0
II0000301,INV000088,P0074,3.0,243109.0,0.0,729327.0
II0000302,INV000089,P0043,2.0,132290.0,11376.0,253204.0
II0000303,INV000090,P0029,1.0,442577.0,40885.0,401692.0
II0000304,INV000090,P0079,1.0,341097.0,45689.0,295408.0
II0000305,INV000090,P0053,3.0,361197.0,112132.0,971459.0
II0000306,INV000090,P0079,4.0,341097.0,136032.0,1228356.0
II0000307,INV000090,P0088,2.0,73214.0,15241.0,131187.0
II0000308,INV000090,P0004,2.0,358007.0,106270.0,609744.0
II0000309,INV000091,P0065,2.0,1.0,0.0,2.0
II0000310,INV000092,P0041,2.0,177493.0,60726.0,294260.0
II0000311,INV000093,P0008,4.0,47441.0,13350.0,176414.0
II0000312,INV000093,P0039,4.0,313991.0,79942.0,1176022.0
II0000313,INV000093,P0089,4.0,438441.0,137465.0,1616299.0
II0000314,INV000093,P0007,2.0,213697.0,18632.0,408762.0
II0000315,INV000093,P0064,1.0,303551.0,16952.0,286599.0
II0000316,INV000093,P0050,3.0,56311.0,8753.0,160180.0
II0000317,INV000094,P0035,5.0,65641.0,30982.0,297223.0
II0000318,INV000095,P0043,4.0,132290.0,0.0,529160.0
II0000319,INV000095,P0073,4.0,383626.0,0.0,1534504.0
II0000320,INV000095,P0039,2.0,313991.0,0.0,627982.0
II0000321,INV000095,P0025,3.0,209033.0,0.0,627099.0
II0000322,INV000096,P0065,3.0,1.0,0.0,3.0
II0000323,INV000097,P0090,1.0,305031.0,0.0,305031.0
II0000324,INV000097,P0081,5.0,449151.0,0.0,2245755.0
II0000325,INV000097,P0021,3.0,378076.0,0.0,1134228.0
II0000326,INV000097,P0063,4.0,306375.0,0.0,1225500.0
II0000327,INV000097,P0061,3.0,176381.0,0.0,529143.0
II0000328,INV000097,P0016,3.0,224553.0,0.0,673659.0
II0000329,INV000098,P0010,2.0,437400.0,0.0,874800.0
II0000330,INV000098,P0066,1.0,118992.0,0.0,118992.0
II0000331,INV000098,P0046,3.0,151561.0,0.0,454683.0
II0000332,INV000098,P0007,5.0,213697.0,0.0,1068485.0
II0000333,INV000099,P0067,2.0,255125.0,0.0,510250.0
II0000334,INV000099,P0040,5.0,57689.0,0.0,288445.0
II0000335,INV000100,P0081,1.0,449151.0,9136.0,440015.0
II0000336,INV000100,P0056,3.0,227390.0,29527.0,652643.0
II0000337,INV000101,P0034,3.0,370028.0,0.0,1110084.0
II0000338,INV000101,P0061,5.0,176381.0,0.0,881905.0
II0000339,INV000101,P0040,4.0,57689.0,0.0,230756.0
II0000340,INV000102,P0070,3.0,130064.0,0.0,390192.0
II0000341,INV000102,P0016,4.0,224553.0,0.0,898212.0
II0000342,INV000102,P0060,1.0,243889.0,0.0,243889.0
II0000343,INV000102,P0056,1.0,227390.0,0.0,227390.0
II0000344,INV000103,P0047,4.0,219178.0,0.0,876712.0
II0000345,INV000103,P0003,4.0,246385.0,0.0,985540.0
II0000346,INV000103,P0089,2.0,438441.0,0.0,876882.0
II0000347,INV000103,P0048,1.0,329369.0,0.0,329369.0
II0000348,INV000103,P0003,3.0,246385.0,0.0,739155.0
II0000349,INV000103,P0063,4.0,306375.0,0.0,1225500.0
II0000350,INV000104,P0040,4.0,57689.0,0.0,230756.0
II0000351,INV000105,P0041,2.0,177493.0,0.0,354986.0
II0000352,INV000105,P0040,1.0,57689.0,0.0,57689.0
II0000353,INV000105,P0001,4.0,58377.0,0.0,233508.0
II0000354,INV000106,P0062,5.0,80307.0,0.0,401535.0
II0000355,INV000106,P0026,3.0,263051.0,0.0,789153.0
II0000356,INV000106,P0056,5.0,227390.0,0.0,1136950.0
II0000357,INV000106,P0037,5.0,423362.0,0.0,2116810.0
II0000358,INV000106,P0058,5.0,1.0,0.0,5.0
II0000359,INV000106,P0031,3.0,387938.0,0.0,1163814.0
II0000360,INV000107,P0035,3.0,65641.0,0.0,196923.0
II0000361,INV000107,P0055,1.0,146743.0,0.0,146743.0
II0000362,INV000107,P0090,5.0,305031.0,0.0,1525155.0
II0000363,INV000108,P0051,4.0,97166.0,0.0,388664.0
II0000364,INV000108,P0066,4.0,118992.0,0.0,475968.0
II0000365,INV000109,P0037,4.0,423362.0,204945.0,1488503.0
II0000366,INV000109,P0019,1.0,207143.0,16851.0,190292.0
II0000367,INV000110,P0011,4.0,346756.0,0.0,1387024.0
II0000368,INV000110,P0032,1.0,304624.0,0.0,304624.0
II0000369,INV000110,P0012,5.0,38835.0,0.0,194175.0
II0000370,INV000110,P0075,-1.0,164300.0,0.0,821500.0
II0000371,INV000110,P0066,4.0,118992.0,0.0,475968.0
II0000372,INV000110,P0004,5.0,358007.0,0.0,1790035.0
II0000373,INV000111,P0015,5.0,362142.0,45499.0,1765211.0
II0000374,INV000112,P0029,3.0,442577.0,75496.0,1252235.0
II0000375,INV000112,P0019,2.0,207143.0,61120.0,353166.0
II0000376,INV000112,P0048,5.0,329369.0,212428.0,1434417.0
II0000377,INV000112,P0044,5.0,137063.0,92004.0,593311.0
II0000378,INV000112,P0043,1.0,132290.0,15485.0,116805.0
II0000379,INV000112,P0074,1.0,243109.0,24166.0,218943.0
II0000380,INV000113,P0060,3.0,243889.0,0.0,731667.0
II0000381,INV000113,P0062,2.0,80307.0,0.0,160614.0
II0000382,INV000113,P0038,3.0,211847.0,0.0,635541.0
II0000383,INV000113,P0077,5.0,22282.0,0.0,111410.0
II0000384,INV000114,P0059,3.0,367266.0,78095.0,1023703.0
II0000385,INV000114,P0057,4.0,138614.0,74955.0,479501.0
II0000386,INV000114,P0036,4.0,218607.0,104444.0,769984.0
II0000387,INV000114,P0045,4.0,74858.0,26043.0,273389.0
II0000388,INV000114,P0015,4.0,362142.0,208313.0,1240255.0
II0000389,INV000115,P0076,3.0,60620.0,0.0,181860.0
II0000390,INV000116,P0024,2.0,264558.0,52761.0,476355.0
II0000391,INV000116,P0014,5.0,1.0,0.0,5.0
II0000392,INV000116,P0056,1.0,227390.0,13015.0,214375.0
II0000393,INV000116,P0017,5.0,424331.0,187972.0,1933683.0
II0000394,INV000116,P0079,3.0,341097.0,50788.0,972503.0
II0000395,INV000117,P0065,4.0,1.0,0.0,4.0
II0000396,INV000117,P0021,4.0,378076.0,0.0,1512304.0
II0000397,INV000118,P0085,4.0,418826.0,60576.0,1614728.0
II0000398,INV000118,P0003,1.0,246385.0,9026.0,237359.0
II0000399,INV000118,P0071,3.0,249257.0,14362.0,733409.0
II0000400,INV000119,P0074,5.0,243109.0,0.0,1215545.0
II0000401,INV000120,P0054,5.0,269856.0,0.0,1349280.0
II0000402,INV000120,P0083,2.0,94939.0,0.0,189878.0
II0000403,INV000120,P0038,4.0,211847.0,0.0,847388.0
II0000404,INV000120,P0009,4.0,91048.0,0.0,364192.0
II0000405,INV000120,P0076,2.0,60620.0,0.0,121240.0
II0000406,INV000121,P0040,2.0,57689.0,0.0,115378.0
II0000407,INV000121,P0013,1.0,1.0,0.0,1.0
II0000408,INV000121,P0019,1.0,207143.0,0.0,207143.0
II0000409,INV000122,P0073,5.0,383626.0,46827.0,1871303.0
II0000410,INV000122,P0053,2.0,361197.0,12119.0,710275.0
II0000411,INV000122,P0053,3.0,361197.0,35909.0,1047682.0
II0000412,INV000122,P0019,1.0,207143.0,4791.0,202352.0
II0000413,INV000123,P0086,4.0,105903.0,0.0,423612.0
II0000414,INV000123,P0021,1.0,378076.0,0.0,378076.0
II0000415,INV000123,P0016,3.0,224553.0,0.0,673659.0
II0000416,INV000123,P0008,5.0,47441.0,0.0,237205.0
II0000417,INV000124,P0090,4.0,305031.0,0.0,1220124.0
II0000418,INV000124,P0014,2.0,1.0,0.0,2.0
II0000419,INV000124,P0020,3.0,143981.0,0.0,431943.0
II0000420,INV000124,P0076,5.0,60620.0,0.0,303100.0
II0000421,INV000125,P0050,4.0,56311.0,0.0,225244.0
II0000422,INV000125,P0064,4.0,303551.0,0.0,1214204.0
II0000423,INV000125,P0066,4.0,118992.0,0.0,475968.0
II0000424,INV000126,P0046,4.0,151561.0,0.0,606244.0
II0000425,INV000127,P0088,1.0,73214.0,5462.0,67752.0
II0000426,INV000128,P0081,2.0,449151.0,0.0,898302.0
II0000427,INV000129,P0032,5.0,304624.0,0.0,1523120.0
II0000428,INV000129,P0072,5.0,446721.0,0.0,2233605.0
