CustomerID,Recency,Frequency,Monetary,Cluster,ClusterName
C00033,89,4,8915912.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00034,287,7,19006116.0,0,مشتریان عادی / کم‌تراکنش
C00035,116,6,16612044.0,0,مشتریان عادی / کم‌تراکنش
C00036,6,7,20202577.0,0,مشتریان عادی / کم‌تراکنش
C00037,604,5,12904525.0,2,مشتریان در خطر ریزش
C00038,1271,1,2534161.0,2,مشتریان در خطر ریزش
C00039,282,7,19041553.0,0,مشتریان عادی / کم‌تراکنش
C00040,216,7,18143437.0,0,مشتریان عادی / کم‌تراکنش
C00041,223,10,30185111.0,3,مشتریان وفادار پرارزش
C00042,314,6,11034690.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00043,399,3,3674941.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00044,923,3,3653009.0,2,مشتریان در خطر ریزش
C00045,585,7,11469774.0,2,مشتریان در خطر ریزش
C00046,45,8,18445262.0,0,مشتریان عادی / کم‌تراکنش
C00047,165,8,15794912.0,0,مشتریان عادی / کم‌تراکنش
C00048,37,11,19368505.0,3,مشتریان وفادار پرارزش
C00049,504,9,25527835.0,3,مشتریان وفادار پرارزش
C00050,338,7,11964596.0,0,مشتریان عادی / کم‌تراکنش
C00051,134,7,12754191.0,0,مشتریان عادی / کم‌تراکنش
C00052,162,7,14777918.0,0,مشتریان عادی / کم‌تراکنش
C00053,200,12,37895119.0,3,مشتریان وفادار پرارزش
C00054,131,7,16471288.0,0,مشتریان عادی / کم‌تراکنش
C00055,358,1,5163253.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00056,882,3,6591033.0,2,مشتریان در خطر ریزش
C00057,794,4,10056934.0,2,مشتریان در خطر ریزش
C00058,718,3,7414130.0,2,مشتریان در خطر ریزش
C00059,353,9,16805484.0,0,مشتریان عادی / کم‌تراکنش
C00060,2,7,11056381.0,0,مشتریان عادی / کم‌تراکنش
C00061,308,5,20893031.0,0,مشتریان عادی / کم‌تراکنش
C00062,225,9,27124630.0,3,مشتریان وفادار پرارزش
C00063,521,3,3888598.0,2,مشتریان در خطر ریزش
C00064,123,6,11641289.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00065,31,4,9068700.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00066,27,4,6497010.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00067,557,6,8737333.0,2,مشتریان در خطر ریزش
C00068,16,8,19826704.0,0,مشتریان عادی / کم‌تراکنش
C00069,287,6,15369569.0,0,مشتریان عادی / کم‌تراکنش
C00070,10,7,22653484.0,0,مشتریان عادی / کم‌تراکنش
C00071,375,7,13617662.0,0,مشتریان عادی / کم‌تراکنش
C00072,257,4,11214220.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00073,146,10,18834480.0,0,مشتریان عادی / کم‌تراکنش
C00074,541,4,4939128.0,2,مشتریان در خطر ریزش
C00075,11,8,20689980.0,0,مشتریان عادی / کم‌تراکنش
C00076,29,8,21296924.0,0,مشتریان عادی / کم‌تراکنش
C00077,176,9,24827330.0,3,مشتریان وفادار پرارزش
C00078,10,5,8012602.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00079,1015,5,8868563.0,2,مشتریان در خطر ریزش
C00080,32,5,4989121.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00081,246,8,17157705.0,0,مشتریان عادی / کم‌تراکنش
C00082,245,11,32615827.0,3,مشتریان وفادار پرارزش
C00083,163,7,24262167.0,0,مشتریان عادی / کم‌تراکنش
C00084,919,2,3383457.0,2,مشتریان در خطر ریزش
C00085,170,8,26456956.0,3,مشتریان وفادار پرارزش
C00086,519,3,7740803.0,2,مشتریان در خطر ریزش
C00087,284,6,13151997.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00088,151,8,17012947.0,0,مشتریان عادی / کم‌تراکنش
C00089,114,4,6575753.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00090,327,7,23456271.0,0,مشتریان عادی / کم‌تراکنش
C00091,47,10,28809363.0,3,مشتریان وفادار پرارزش
C00092,230,2,2341503.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00093,306,7,22549345.0,0,مشتریان عادی / کم‌تراکنش
C00094,121,1,2866587.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00095,538,3,6569961.0,2,مشتریان در خطر ریزش
C00096,81,16,48477563.0,3,مشتریان وفادار پرارزش
C00097,152,10,33907541.0,3,مشتریان وفادار پرارزش
C00098,180,7,19457303.0,0,مشتریان عادی / کم‌تراکنش
C00099,254,8,20156805.0,0,مشتریان عادی / کم‌تراکنش
C00100,123,7,18504039.0,0,مشتریان عادی / کم‌تراکنش
C00101,97,7,13395097.0,0,مشتریان عادی / کم‌تراکنش
C00102,116,6,8983389.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00103,124,6,15976354.0,0,مشتریان عادی / کم‌تراکنش
C00104,568,10,20543179.0,3,مشتریان وفادار پرارزش
C00105,1005,4,11512875.0,2,مشتریان در خطر ریزش
C00106,176,8,24098587.0,0,مشتریان عادی / کم‌تراکنش
C00107,244,5,16082929.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00108,52,10,19888503.0,3,مشتریان وفادار پرارزش
C00109,118,9,20669859.0,0,مشتریان عادی / کم‌تراکنش
C00110,14,6,13256266.0,0,مشتریان عادی / کم‌تراکنش
C00111,11,4,8144711.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00112,57,5,13655578.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00113,113,8,11663687.0,0,مشتریان عادی / کم‌تراکنش
C00114,176,12,33443899.0,3,مشتریان وفادار پرارزش
C00115,7,8,13426137.0,0,مشتریان عادی / کم‌تراکنش
C00116,97,11,26745589.0,3,مشتریان وفادار پرارزش
C00117,63,7,15960113.0,0,مشتریان عادی / کم‌تراکنش
C00118,96,8,16334359.0,0,مشتریان عادی / کم‌تراکنش
C00119,65,5,16490213.0,0,مشتریان عادی / کم‌تراکنش
C00120,609,3,7663923.0,2,مشتریان در خطر ریزش
C00121,20,6,15389545.0,0,مشتریان عادی / کم‌تراکنش
C00122,99,12,25963658.0,3,مشتریان وفادار پرارزش
C00123,204,8,23427945.0,0,مشتریان عادی / کم‌تراکنش
C00124,483,5,11128026.0,2,مشتریان در خطر ریزش
C00125,220,7,20702006.0,0,مشتریان عادی / کم‌تراکنش
C00126,4,3,5178097.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00127,68,6,10182694.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00128,178,9,18752657.0,0,مشتریان عادی / کم‌تراکنش
C00129,475,7,14854091.0,2,مشتریان در خطر ریزش
C00130,919,5,7309277.0,2,مشتریان در خطر ریزش
C00131,313,6,11403928.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00132,1,4,9727311.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00133,152,6,16638332.0,0,مشتریان عادی / کم‌تراکنش
C00134,292,6,12271304.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00135,553,4,15189343.0,2,مشتریان در خطر ریزش
C00136,17,6,8485584.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00137,98,4,8411844.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00138,145,5,4922912.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00139,179,6,12857117.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00140,129,9,13959221.0,0,مشتریان عادی / کم‌تراکنش
C00141,63,13,25124706.0,3,مشتریان وفادار پرارزش
C00142,443,6,16537965.0,0,مشتریان عادی / کم‌تراکنش
C00143,783,6,16276129.0,2,مشتریان در خطر ریزش
C00144,55,15,32978357.0,3,مشتریان وفادار پرارزش
C00145,136,7,12880748.0,0,مشتریان عادی / کم‌تراکنش
C00146,55,6,15150822.0,0,مشتریان عادی / کم‌تراکنش
C00147,51,4,8546298.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00148,217,6,15663219.0,0,مشتریان عادی / کم‌تراکنش
C00149,139,10,17505748.0,0,مشتریان عادی / کم‌تراکنش
C00150,53,8,12533752.0,0,مشتریان عادی / کم‌تراکنش
C00151,104,7,8337113.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00152,35,6,16223567.0,0,مشتریان عادی / کم‌تراکنش
C00153,352,9,15100485.0,0,مشتریان عادی / کم‌تراکنش
C00154,241,8,16214321.0,0,مشتریان عادی / کم‌تراکنش
C00155,66,5,11287554.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00156,201,11,23737578.0,3,مشتریان وفادار پرارزش
C00157,307,4,12225956.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00158,224,4,12660092.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00159,438,9,15664578.0,0,مشتریان عادی / کم‌تراکنش
C00160,913,2,3145643.0,2,مشتریان در خطر ریزش
C00161,233,5,11284945.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00162,78,10,20792693.0,3,مشتریان وفادار پرارزش
C00163,518,6,12616380.0,2,مشتریان در خطر ریزش
C00164,125,12,29632666.0,3,مشتریان وفادار پرارزش
C00165,97,7,21436435.0,0,مشتریان عادی / کم‌تراکنش
C00166,363,7,23228180.0,0,مشتریان عادی / کم‌تراکنش
C00167,27,7,12280247.0,0,مشتریان عادی / کم‌تراکنش
C00168,87,8,12913298.0,0,مشتریان عادی / کم‌تراکنش
C00169,144,10,24973130.0,3,مشتریان وفادار پرارزش
C00170,62,8,17080458.0,0,مشتریان عادی / کم‌تراکنش
C00171,63,6,12676472.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00172,95,8,22718675.0,0,مشتریان عادی / کم‌تراکنش
C00173,199,7,11643162.0,0,مشتریان عادی / کم‌تراکنش
C00174,89,3,7669597.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00175,132,4,9796453.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00176,156,7,18456952.0,0,مشتریان عادی / کم‌تراکنش
C00177,171,6,14701561.0,0,مشتریان عادی / کم‌تراکنش
C00178,193,8,11619006.0,0,مشتریان عادی / کم‌تراکنش
C00179,14,9,19470362.0,0,مشتریان عادی / کم‌تراکنش
C00180,172,2,4409901.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00181,600,6,10016045.0,2,مشتریان در خطر ریزش
C00182,231,7,14000009.0,0,مشتریان عادی / کم‌تراکنش
C00183,63,8,31653427.0,3,مشتریان وفادار پرارزش
C00184,473,11,29631489.0,3,مشتریان وفادار پرارزش
C00185,50,12,27596567.0,3,مشتریان وفادار پرارزش
C00186,266,4,8576305.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00187,197,7,15731020.0,0,مشتریان عادی / کم‌تراکنش
C00188,206,4,7882528.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00189,170,7,15472539.0,0,مشتریان عادی / کم‌تراکنش
C00190,33,12,29117418.0,3,مشتریان وفادار پرارزش
C00191,45,6,17494681.0,0,مشتریان عادی / کم‌تراکنش
C00192,550,3,3356700.0,2,مشتریان در خطر ریزش
C00193,6,12,25372277.0,3,مشتریان وفادار پرارزش
C00194,68,13,27491638.0,3,مشتریان وفادار پرارزش
C00195,27,8,17617616.0,0,مشتریان عادی / کم‌تراکنش
C00196,214,4,7138389.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00197,805,2,1900749.0,2,مشتریان در خطر ریزش
C00198,14,7,23233440.0,0,مشتریان عادی / کم‌تراکنش
C00199,9,8,14177103.0,0,مشتریان عادی / کم‌تراکنش
C00200,283,10,29025695.0,3,مشتریان وفادار پرارزش
C00201,1346,1,5065128.0,2,مشتریان در خطر ریزش
C00202,146,8,17459410.0,0,مشتریان عادی / کم‌تراکنش
C00203,35,5,17385066.0,0,مشتریان عادی / کم‌تراکنش
C00204,176,4,10013497.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00205,468,6,10476346.0,2,مشتریان در خطر ریزش
C00206,58,8,19918014.0,0,مشتریان عادی / کم‌تراکنش
C00207,664,8,12031552.0,2,مشتریان در خطر ریزش
C00208,41,6,14415111.0,0,مشتریان عادی / کم‌تراکنش
C00209,160,8,21163112.0,0,مشتریان عادی / کم‌تراکنش
C00210,337,9,15522745.0,0,مشتریان عادی / کم‌تراکنش
C00211,756,3,7997404.0,2,مشتریان در خطر ریزش
C00212,261,10,24788622.0,3,مشتریان وفادار پرارزش
C00213,5,9,24604958.0,3,مشتریان وفادار پرارزش
C00214,175,7,18887210.0,0,مشتریان عادی / کم‌تراکنش
C00215,13,11,30941170.0,3,مشتریان وفادار پرارزش
C00216,104,7,17945675.0,0,مشتریان عادی / کم‌تراکنش
C00217,90,6,12206132.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00218,323,6,22008904.0,0,مشتریان عادی / کم‌تراکنش
C00219,535,6,14104124.0,2,مشتریان در خطر ریزش
C00220,3,5,8481276.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00221,272,11,30296494.0,3,مشتریان وفادار پرارزش
C00222,4,6,10682595.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00223,906,4,7089750.0,2,مشتریان در خطر ریزش
C00224,412,10,33131980.0,3,مشتریان وفادار پرارزش
C00225,768,10,21208537.0,2,مشتریان در خطر ریزش
C00226,171,7,22460083.0,0,مشتریان عادی / کم‌تراکنش
C00227,121,7,21721505.0,0,مشتریان عادی / کم‌تراکنش
C00228,51,7,16423996.0,0,مشتریان عادی / کم‌تراکنش
C00229,490,8,12963419.0,2,مشتریان در خطر ریزش
C00230,591,6,11808039.0,2,مشتریان در خطر ریزش
C00231,765,5,9120992.0,2,مشتریان در خطر ریزش
C00232,194,2,3160627.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00233,135,11,22368419.0,3,مشتریان وفادار پرارزش
C00234,270,11,18229648.0,3,مشتریان وفادار پرارزش
C00235,285,5,10273931.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00236,59,11,31260958.0,3,مشتریان وفادار پرارزش
C00237,96,7,14840381.0,0,مشتریان عادی / کم‌تراکنش
C00238,86,7,19030606.0,0,مشتریان عادی / کم‌تراکنش
C00239,115,8,23329057.0,0,مشتریان عادی / کم‌تراکنش
C00240,147,5,11834617.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00241,245,4,20140866.0,0,مشتریان عادی / کم‌تراکنش
C00242,200,4,10890804.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00243,403,4,7739208.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00244,543,8,21920868.0,0,مشتریان عادی / کم‌تراکنش
C00245,262,6,15761026.0,0,مشتریان عادی / کم‌تراکنش
C00246,192,7,14581375.0,0,مشتریان عادی / کم‌تراکنش
C00247,221,6,16862457.0,0,مشتریان عادی / کم‌تراکنش
C00248,127,8,22170489.0,0,مشتریان عادی / کم‌تراکنش
C00249,243,8,23521118.0,0,مشتریان عادی / کم‌تراکنش
C00250,193,7,17539805.0,0,مشتریان عادی / کم‌تراکنش
C00251,5,6,12098084.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00252,48,5,13660366.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00253,185,6,20439388.0,0,مشتریان عادی / کم‌تراکنش
C00254,516,4,7579128.0,2,مشتریان در خطر ریزش
C00255,113,9,21882430.0,0,مشتریان عادی / کم‌تراکنش
C00256,315,5,13468971.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00257,71,8,10378671.0,0,مشتریان عادی / کم‌تراکنش
C00258,442,6,17603214.0,0,مشتریان عادی / کم‌تراکنش
C00259,149,9,21534591.0,0,مشتریان عادی / کم‌تراکنش
C00260,271,9,22446384.0,3,مشتریان وفادار پرارزش
C00261,173,6,13986894.0,0,مشتریان عادی / کم‌تراکنش
C00262,575,6,11949233.0,2,مشتریان در خطر ریزش
C00263,46,8,16425314.0,0,مشتریان عادی / کم‌تراکنش
C00264,326,6,12413672.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00265,149,13,36536174.0,3,مشتریان وفادار پرارزش
C00266,414,7,25119247.0,0,مشتریان عادی / کم‌تراکنش
C00267,47,8,21107562.0,0,مشتریان عادی / کم‌تراکنش
C00268,220,7,14810822.0,0,مشتریان عادی / کم‌تراکنش
C00269,93,11,21925547.0,3,مشتریان وفادار پرارزش
C00270,69,7,20144620.0,0,مشتریان عادی / کم‌تراکنش
C00271,106,10,27005995.0,3,مشتریان وفادار پرارزش
C00272,24,5,15052180.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00273,267,8,15774206.0,0,مشتریان عادی / کم‌تراکنش
C00274,193,6,15990197.0,0,مشتریان عادی / کم‌تراکنش
C00275,5,4,4250702.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00276,645,3,3725354.0,2,مشتریان در خطر ریزش
C00277,357,4,11526206.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00278,34,6,15177322.0,0,مشتریان عادی / کم‌تراکنش
C00279,533,7,18656181.0,2,مشتریان در خطر ریزش
C00280,241,8,21098105.0,0,مشتریان عادی / کم‌تراکنش
C00281,361,5,14676184.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00282,128,9,21542696.0,0,مشتریان عادی / کم‌تراکنش
C00283,705,8,22999661.0,2,مشتریان در خطر ریزش
C00284,115,7,20029552.0,0,مشتریان عادی / کم‌تراکنش
C00285,231,10,16051457.0,0,مشتریان عادی / کم‌تراکنش
C00286,117,5,13158514.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00287,71,7,16872057.0,0,مشتریان عادی / کم‌تراکنش
C00288,216,3,2380634.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00289,34,6,12610385.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00290,245,6,14058430.0,0,مشتریان عادی / کم‌تراکنش
C00291,544,4,4274469.0,2,مشتریان در خطر ریزش
C00292,5,5,14137465.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00293,122,11,27581229.0,3,مشتریان وفادار پرارزش
C00294,106,4,6773721.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00295,627,6,16134568.0,2,مشتریان در خطر ریزش
C00296,21,9,16336574.0,0,مشتریان عادی / کم‌تراکنش
C00297,11,8,21571384.0,0,مشتریان عادی / کم‌تراکنش
C00298,131,7,25126136.0,0,مشتریان عادی / کم‌تراکنش
C00299,336,12,28628918.0,3,مشتریان وفادار پرارزش
C00300,180,6,15040488.0,0,مشتریان عادی / کم‌تراکنش
C00301,362,1,4198319.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00302,319,6,21529801.0,0,مشتریان عادی / کم‌تراکنش
C00303,539,5,15384942.0,2,مشتریان در خطر ریزش
C00304,95,8,11844161.0,0,مشتریان عادی / کم‌تراکنش
C00305,2,2,3057092.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00306,263,6,16382882.0,0,مشتریان عادی / کم‌تراکنش
C00307,448,3,1876247.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00308,2,11,29140517.0,3,مشتریان وفادار پرارزش
C00309,126,7,18919274.0,0,مشتریان عادی / کم‌تراکنش
C00310,120,10,26720431.0,3,مشتریان وفادار پرارزش
C00311,1,8,13598660.0,0,مشتریان عادی / کم‌تراکنش
C00312,204,4,11992593.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00313,86,5,12748574.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00314,429,9,24185203.0,3,مشتریان وفادار پرارزش
C00315,335,6,18412320.0,0,مشتریان عادی / کم‌تراکنش
C00316,184,9,17645721.0,0,مشتریان عادی / کم‌تراکنش
C00317,116,8,12723345.0,0,مشتریان عادی / کم‌تراکنش
C00318,92,6,15738802.0,0,مشتریان عادی / کم‌تراکنش
C00319,90,5,11872690.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00320,20,6,10991595.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00321,4,9,20264189.0,0,مشتریان عادی / کم‌تراکنش
C00322,175,10,25128965.0,3,مشتریان وفادار پرارزش
C00323,92,8,17889200.0,0,مشتریان عادی / کم‌تراکنش
C00324,29,9,21261907.0,0,مشتریان عادی / کم‌تراکنش
C00325,417,9,31111651.0,3,مشتریان وفادار پرارزش
C00326,5,11,27973840.0,3,مشتریان وفادار پرارزش
C00327,191,8,17861426.0,0,مشتریان عادی / کم‌تراکنش
C00328,456,5,5518445.0,2,مشتریان در خطر ریزش
C00329,58,13,29283861.0,3,مشتریان وفادار پرارزش
C00330,83,4,7528827.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00331,24,10,14799195.0,0,مشتریان عادی / کم‌تراکنش
C00332,184,8,26050727.0,3,مشتریان وفادار پرارزش
C00333,293,7,20223822.0,0,مشتریان عادی / کم‌تراکنش
C00334,613,1,3932660.0,2,مشتریان در خطر ریزش
C00335,228,8,20923886.0,0,مشتریان عادی / کم‌تراکنش
C00336,56,5,12132423.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00337,903,5,12565922.0,2,مشتریان در خطر ریزش
C00338,132,10,24502381.0,3,مشتریان وفادار پرارزش
C00339,181,6,14931150.0,0,مشتریان عادی / کم‌تراکنش
C00340,170,5,7342593.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00341,88,9,26971884.0,3,مشتریان وفادار پرارزش
C00342,98,7,18940505.0,0,مشتریان عادی / کم‌تراکنش
C00343,348,4,11838656.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00344,70,11,25159099.0,3,مشتریان وفادار پرارزش
C00345,308,8,18790454.0,0,مشتریان عادی / کم‌تراکنش
C00346,18,6,16805340.0,0,مشتریان عادی / کم‌تراکنش
C00347,124,3,9775912.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00348,142,10,32233914.0,3,مشتریان وفادار پرارزش
C00349,90,5,6019651.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00350,131,11,20551539.0,3,مشتریان وفادار پرارزش
C00351,837,6,18422906.0,2,مشتریان در خطر ریزش
C00352,174,5,13324858.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00353,44,8,18567440.0,0,مشتریان عادی / کم‌تراکنش
C00354,46,8,18050606.0,0,مشتریان عادی / کم‌تراکنش
C00355,67,5,17250987.0,0,مشتریان عادی / کم‌تراکنش
C00356,1050,6,11647130.0,2,مشتریان در خطر ریزش
C00357,109,12,40166891.0,3,مشتریان وفادار پرارزش
C00358,373,6,10800436.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00359,260,8,24821481.0,3,مشتریان وفادار پرارزش
C00360,355,7,15565476.0,0,مشتریان عادی / کم‌تراکنش
C00361,537,6,13448152.0,2,مشتریان در خطر ریزش
C00362,170,4,11458813.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00363,251,7,15051467.0,0,مشتریان عادی / کم‌تراکنش
C00364,163,5,10975446.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00365,10,6,8997747.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00366,60,7,17628971.0,0,مشتریان عادی / کم‌تراکنش
C00367,16,9,24469806.0,3,مشتریان وفادار پرارزش
C00368,386,6,16729881.0,0,مشتریان عادی / کم‌تراکنش
C00369,11,9,21995670.0,0,مشتریان عادی / کم‌تراکنش
C00370,55,10,23443259.0,3,مشتریان وفادار پرارزش
C00371,545,5,13209554.0,2,مشتریان در خطر ریزش
C00372,245,6,15978746.0,0,مشتریان عادی / کم‌تراکنش
C00373,457,3,7681729.0,2,مشتریان در خطر ریزش
C00374,336,12,19816442.0,3,مشتریان وفادار پرارزش
C00375,8,10,22499069.0,3,مشتریان وفادار پرارزش
C00376,298,5,10064786.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00377,12,13,34543095.0,3,مشتریان وفادار پرارزش
C00378,49,7,20898215.0,0,مشتریان عادی / کم‌تراکنش
C00379,204,7,17720494.0,0,مشتریان عادی / کم‌تراکنش
C00380,189,9,20845216.0,0,مشتریان عادی / کم‌تراکنش
C00381,399,9,14150018.0,0,مشتریان عادی / کم‌تراکنش
C00382,124,7,13329037.0,0,مشتریان عادی / کم‌تراکنش
C00383,990,3,6060269.0,2,مشتریان در خطر ریزش
C00384,894,5,13154155.0,2,مشتریان در خطر ریزش
C00385,19,7,18672162.0,0,مشتریان عادی / کم‌تراکنش
C00386,505,8,16942336.0,0,مشتریان عادی / کم‌تراکنش
C00387,148,9,15081578.0,0,مشتریان عادی / کم‌تراکنش
C00388,535,6,14094819.0,2,مشتریان در خطر ریزش
C00389,141,5,16987359.0,0,مشتریان عادی / کم‌تراکنش
C00390,432,3,9820801.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00391,162,7,18368512.0,0,مشتریان عادی / کم‌تراکنش
C00392,8,12,29343786.0,3,مشتریان وفادار پرارزش
C00393,3,6,11125840.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00394,11,2,4266791.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00395,419,5,8301340.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00396,87,13,41456740.0,3,مشتریان وفادار پرارزش
C00397,10,10,28624865.0,3,مشتریان وفادار پرارزش
